asset_id,original_file,brand_detected,category,visual_role,source_type,source_url,rights_status,commercial_use_allowed,derivative_allowed,needs_masking,masking_targets,risk_level,approved_for_generation,notes
asset_000088,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_088.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000089,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_089.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000090,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_090.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000091,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_091.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000092,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_092.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000093,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_093.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000094,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_001.jpg,메가커피,interior,evidence,self_shot,,owned,True,True,False,,low,False,
asset_000095,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_002.jpg,메가커피,interior,evidence,self_shot,,owned,True,True,False,,low,False,
asset_000096,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_003.jpg,메가커피,interior,evidence,self_shot,,owned,True,True,False,,low,False,
asset_000097,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_004.jpg,메가커피,interior,evidence,self_shot,,owned,True,True,False,,low,False,
